entity,fact,text
L-glutamate,L-glutamate is used as a growth supplement at 5 mM concentration for the auxotrophic mutant am2 of the wild-type glutamate dehydrogenase-producing fungus.,Entity: L-glutamate. SMILES: N[C@@H](CCC(=O)O)C(=O)[O-].[Na+]. L-glutamate is used as a growth supplement at 5 mM concentration for the auxotrophic mutant am2 of the wild-type glutamate dehydrogenase-producing fungus.
ammonium bicarbonate,Ammonium bicarbonate at 0.05 M concentration is used to swell gel-filtration columns and as the buffer for applying and eluting peptides during gel-filtration fractionation.,Entity: ammonium bicarbonate. SMILES: O=C([O-])O.[NH4+]. Ammonium bicarbonate at 0.05 M concentration is used to swell gel-filtration columns and as the buffer for applying and eluting peptides during gel-filtration fractionation.
thiodiglycol,Thiodiglycol at 0.01% (v/v) is sometimes added to peptide mixtures during gel-filtration to aid in peptide identification.,Entity: thiodiglycol. SMILES: OCCSCCO. Thiodiglycol at 0.01% (v/v) is sometimes added to peptide mixtures during gel-filtration to aid in peptide identification.
tryptophan,Tryptophan-containing peptides can be identified by measuring their absorbance at 280 nm (E280) during gel-filtration.,Entity: tryptophan. SMILES: N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O. Tryptophan-containing peptides can be identified by measuring their absorbance at 280 nm (E280) during gel-filtration.
tyrosine,Tyrosine-containing peptides can be identified by measuring their absorbance at 280 nm (E280) during gel-filtration.,Entity: tyrosine. SMILES: N[C@@H](Cc1ccc(O)cc1)C(=O)O. Tyrosine-containing peptides can be identified by measuring their absorbance at 280 nm (E280) during gel-filtration.
thiodiglycol,Thiodiglycol is used as a 0.1% (v/v) additive in 0.1 M ammonium bicarbonate solution for peptide storage at -200°C.,Entity: thiodiglycol. SMILES: OCCSCCO. Thiodiglycol is used as a 0.1% (v/v) additive in 0.1 M ammonium bicarbonate solution for peptide storage at -200°C.
ammonium bicarbonate,"Ammonium bicarbonate at 0.1 M concentration is used as a solvent for redissolving pooled, dried peptide fractions prior to storage at -200°C.","Entity: ammonium bicarbonate. SMILES: O=C([O-])O.[NH4+]. Ammonium bicarbonate at 0.1 M concentration is used as a solvent for redissolving pooled, dried peptide fractions prior to storage at -200°C."
N-acetyl-serine,N-acetyl-serine is identified as the blocked N-terminus of peptide TI after analysis and sequencing.,Entity: N-acetyl-serine. SMILES: CC(=O)N[C@@H](CO)C(=O)O. N-acetyl-serine is identified as the blocked N-terminus of peptide TI after analysis and sequencing.
butyl acetate,Butyl acetate is used to remove residual pyridine from peptides prior to tryptophan quantification by absorption spectra in peptide analysis.,Entity: butyl acetate. SMILES: CCCCOC(C)=O. Butyl acetate is used to remove residual pyridine from peptides prior to tryptophan quantification by absorption spectra in peptide analysis.
tryptophan,"Tryptophan can be determined in peptides by measuring the absorption spectra of peptides before hydrolysis, following pyridine removal.","Entity: tryptophan. SMILES: N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O. Tryptophan can be determined in peptides by measuring the absorption spectra of peptides before hydrolysis, following pyridine removal."
hydrochloric acid,"Hydrochloric acid (6M-HCl) is used to hydrolyze samples for amino acid analysis, often supplemented with phenol to prevent tyrosine loss.","Entity: hydrochloric acid. SMILES: Cl. Hydrochloric acid (6M-HCl) is used to hydrolyze samples for amino acid analysis, often supplemented with phenol to prevent tyrosine loss."
pyridine,"Pyridine is a reagent used in peptide analysis that can interfere with tryptophan quantification, and is removed by treatment with butyl acetate.","Entity: pyridine. SMILES: c1ccncc1. Pyridine is a reagent used in peptide analysis that can interfere with tryptophan quantification, and is removed by treatment with butyl acetate."
methionine,"Methionine can be lost during acid hydrolysis in peptide analysis, although some residual methionine may remain for qualitative detection.","Entity: methionine. SMILES: CSCC[C@H](N)C(=O)O. Methionine can be lost during acid hydrolysis in peptide analysis, although some residual methionine may remain for qualitative detection."
phenol,Phenol is added at 3 mg/ml to 6M-HCl during sample hydrolysis to prevent losses of tyrosine.,Entity: phenol. SMILES: Oc1ccccc1. Phenol is added at 3 mg/ml to 6M-HCl during sample hydrolysis to prevent losses of tyrosine.
tyrosine,"Tyrosine is susceptible to loss during acid hydrolysis, and phenol supplementation in 6M-HCl helps to prevent this loss in peptide analysis.","Entity: tyrosine. SMILES: N[C@@H](Cc1ccc(O)cc1)C(=O)O. Tyrosine is susceptible to loss during acid hydrolysis, and phenol supplementation in 6M-HCl helps to prevent this loss in peptide analysis."
glutamine,Glutamine can block N-terminal sequence determination by forming a pyrrolidone ring during peptide degradation.,Entity: glutamine. SMILES: NC(=O)CC[C@H](N)C(=O)O. Glutamine can block N-terminal sequence determination by forming a pyrrolidone ring during peptide degradation.
glutamate,Glutamate is revealed at the N-terminus after glutamine-mediated blockage is removed by the methanolysis procedure of Kawasaki & Itano (1972).,Entity: glutamate. SMILES: N[C@@H](CCC(=O)[O-])C(=O)[O-]. Glutamate is revealed at the N-terminus after glutamine-mediated blockage is removed by the methanolysis procedure of Kawasaki & Itano (1972).
pyridine,Pyridine is used as a component of the buffer system (1.25 M-pyridine-acetic acid at pH 6.5) in paper electrophoresis for peptide fractionation.,Entity: pyridine. SMILES: c1ccncc1. Pyridine is used as a component of the buffer system (1.25 M-pyridine-acetic acid at pH 6.5) in paper electrophoresis for peptide fractionation.
formic acid,Formic acid is used in combination with acetic acid and water to create a buffer at pH 2.1 for paper electrophoresis of peptides.,Entity: formic acid. SMILES: O=CO. Formic acid is used in combination with acetic acid and water to create a buffer at pH 2.1 for paper electrophoresis of peptides.
acetic acid,Acetic acid is used as a component of buffer systems (with formic acid or pyridine) for paper electrophoresis of peptides.,Entity: acetic acid. SMILES: CC(=O)O. Acetic acid is used as a component of buffer systems (with formic acid or pyridine) for paper electrophoresis of peptides.
ammonium bicarbonate,Ammonium bicarbonate at 0.1 M concentration is used as an elution buffer for peptides after electrophoresis.,Entity: ammonium bicarbonate. SMILES: O=C([O-])O.[NH4+]. Ammonium bicarbonate at 0.1 M concentration is used as an elution buffer for peptides after electrophoresis.
ammonia,Ammonia is used at 0.1 M concentration as an elution buffer for peptides after electrophoresis.,Entity: ammonia. SMILES: N. Ammonia is used at 0.1 M concentration as an elution buffer for peptides after electrophoresis.
ninhydrin,Ninhydrin is used to stain peptides on reference strips for visualization after electrophoresis.,Entity: ninhydrin. SMILES: O=C1c2ccccc2C(=O)C1(O)O. Ninhydrin is used to stain peptides on reference strips for visualization after electrophoresis.
vinylidene polymer,Vinylidene polymer is used as a thin plastic sheet (Saran) to cover the bottom of electrophoresis plates and to create a reservoir for Vaseline in protein gel preparation.,Entity: vinylidene polymer. SMILES: C=C(Cl)Cl.C=CCl. Vinylidene polymer is used as a thin plastic sheet (Saran) to cover the bottom of electrophoresis plates and to create a reservoir for Vaseline in protein gel preparation.
elastin,Elastin particles can be used as a substrate in agar gel electrophoretograms to detect elastase activity by producing undigested zones in the electrophoretogram.,Entity: elastin. SMILES: CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NC)C(C)C. Elastin particles can be used as a substrate in agar gel electrophoretograms to detect elastase activity by producing undigested zones in the electrophoretogram.
hemoglobin,"Hemoglobin can serve as a substrate overlay in agar gel electrophoretograms to detect elastase activity, with undigested hemoglobin zones indicating the presence of elastase inhibitors.","Entity: hemoglobin. SMILES: Cc1ccc2c(=O)cc(-c3ccco3)[nH]c2n1. Hemoglobin can serve as a substrate overlay in agar gel electrophoretograms to detect elastase activity, with undigested hemoglobin zones indicating the presence of elastase inhibitors."
sodium hydroxide,Sodium hydroxide is used at 0.1 M concentration in the cathode buffer for discontinuous acid starch gel electrophoresis of human serum.,Entity: sodium hydroxide. SMILES: [Na+].[OH-]. Sodium hydroxide is used at 0.1 M concentration in the cathode buffer for discontinuous acid starch gel electrophoresis of human serum.
